DEP_Code,Name,Street_Add,Town_City,Type,Zip Code,tons,Lat,Long,X_Coord,Y_Coord,Status,Score
W244,Lavazza Espresso Point,115 Green St,Worcester,W,1604,,42.09303372,70.9658726,244186.5657,871540.9495,T,66
G251,Laverdes Market At Mit,84 Massachusetts Ave,Cambridge,G,2139,69,42.35937422,71.0938473,233458.8764,901065.7249,M,100
R3100,Lavoie's Ballard Restaurant,128 Ballard St,Saugus,R,1906,60,42.45075193,70.9832852,242505.3991,911264.8591,M,100
IS10,Lawrence Academy,992 Powder House Rd,Groton,IS,1450,25.515,42.60314966,71.5659208,194590.3459,928066.7587,M,51
IH78,LAWRENCE GENERAL HOSPITAL,ONE GENERAL STREET,LAWRENCE,IH,1842,117.96435,42.7090891,71.1485122,228795.5262,939892.347,M,100
R640,LBJ Restaurant,107 Grant St,Framingham,R,1702,18,42.281923,71.4104783,207383.8569,892386.981,M,100
W245,Le Comte's All Star Dairy,500 Wood St,Somerset,W,2726,,41.66428642,71.1459068,229490.7367,823843.2822,T,66
R3427,Le Languedoc Restarant,24 Broad St,Nantucket,R,2554,84,41.28516522,70.099597,317319.3073,782636.8628,M,100
R641,Le Lyonnais,416 Great Rd,Acton,R,1720,18,42.51075935,71.4217608,206429.9505,917804.686,M,100
F426,Leavitt Corp (Teddie Peanut Butter),,Everett,F,2149,,42.40463942,71.0684196,235528.1493,906103.885,M,100
R1681,Ledge Kitchen and Drinks,2261 DORCHESTER AVE,BOSTON,R,2124,30,42.2731444,71.0678385,235649.9956,891498.3371,M,100
R849,Ledgemont Country Club,131 Brown Ave,Seekonk,R,2771,19.5,41.86853628,71.3257386,214467.0891,846482.4788,M,100
IH378,LEDGEWOOD REHAB & SKLD NURSING,87 HERRICK STREET,BEVERLY,IH,1915,40.4055,42.56569239,70.8771198,251145.277,924090.5412,M,100
R1152,Lee Subway,236 Main St,Lee,R,1238,22.5,42.3091983,73.2514637,55609.51094,896895.2219,M,100
F427,Lee's Bakery,98 Hamilton St Ste 5,Worcester,F,1604,,42.2561088,71.779567,176931.6188,889553.6076,M,100
R200,Lees Kitchen,389 W Central St,Franklin,R,2038,15,42.08787963,71.414536,207070.7705,870833.6699,M,100
G252,Lees Super Market,796 Main Rd,Westport,G,2790,225,41.58034671,71.0897004,234216.7158,814541.3792,M,100
R3519,LEGAL SEA FOODS,210 Andover St Unit 42,Peabody,R,1960,90,42.54332875,70.9422019,245817.6501,921569.4053,M,100
R3669,LEGAL SEA FOODS,100 Huntington Ave,Boston,R,2116,112.5,42.34705739,71.0796658,234633.8775,899703.2903,M,100
R3753,LEGAL SEA FOODS,255 STATE ST,BOSTON,R,2109,150,42.35970009,71.0513395,236960.4519,901119.4678,M,100
R3754,Legal Sea Foods,5 Cambridge Ctr,Cambridge,R,2142,150,42.3625418,71.0871218,234011.2149,901420.2256,M,100
R3755,Legal Sea Foods,43 Boylston St,Chestnut Hill,R,2467,150,42.32112626,71.1735529,226909.0225,896789.1165,M,100
R3790,LEGAL SEA FOODS,800 Boylston St Ste 103,Boston,R,2199,187.5,42.3488644,71.0818288,234454.6752,899903.1281,M,100
R3804,Legal Sea Foods,1 Seafood Way,Boston,R,2210,225,42.34954402,71.0314591,238604.3671,900000.1885,M,100
R3805,LEGAL SEA FOODS,26 Park Sq,Boston,R,2116,225,42.34518622,71.0944555,233416.2641,899489.5496,T,81
IH379,LEGEND REHABILITATION & NURSIN,59 EASTWOOD CIRCLE,GARDNER,IH,1440,39.42,42.56776302,71.978834,160683.6438,924244.1632,M,100
F428,Legion Donuts Inc,684 American Legion Hwy,Boston,F,2131,,42.28380401,71.1128167,231934.2877,892664.5191,M,100
R3625,Leinster Group,25 School St,Boston,R,2108,105,42.29660508,71.0748151,235061.4926,894101.3072,T,100
IH380,"LELAND HOME, THE",21 NEWTON STREET,WALTHAM,IH,2154,13.14,42.37649064,71.2289279,222324.937,902922.7797,M,100
R201,Lemon Tree Cafe,168 Great Rd Ste 4,Bedford,R,1730,15,42.4899583,71.2743719,218548.9345,915515.6779,M,100
R642,Lemon Tree Restaurant,211 Middlesex Tpke,Burlington,R,1803,18,42.49641083,71.2268555,222452.9581,916243.8446,M,100
IH27,LEMUEL SHATTUCK HOSPITAL,170 MORTON STREET,BOSTON,IH,2130,0,42.3635043,71.0565053,236532.699,901539.7964,M,62
R202,Lena's Pizza & Subs,200 Washington St,Peabody,R,1960,15,42.52086926,70.9354025,246392.661,919078.3003,M,100
R1923,Lena's Seafood,131 Rabbit Rd,Salisbury,R,1952,31.5,42.86334289,70.888963,249935.9641,957148.0067,M,100
G253,Lendys Inc,653 Broadway,Saugus,G,1906,37.5,42.47952312,71.0219164,239309.6841,914442.1686,M,100
R2177,Lenox 218,218 Main St,Lenox,R,1240,37.5,42.36661085,73.2814152,53273.84516,903322.1371,M,100
F429,Lenox Martell Inc,89 Heath St,Boston,F,2130,,42.32641398,71.1014395,232850.5413,897401.7111,M,100
R3670,Lenzi's Catering Service,810 Merrimack Ave,Dracut,R,1826,112.5,42.65956858,71.2550898,220080.0174,934360.7776,M,100
IH381,LEONARD FLORENCE CENTER FOR LI,165 CAPTAIN'S ROW,CHELSEA,IH,2150,32.85,42.39055061,71.0446375,237494.2584,904549.1331,M,100
R643,Leone S Submarine Sandwich,292 Broadway,Somerville,R,2145,18,42.39193099,71.0922778,233570.8841,904682.6144,M,100
R644,Leone's Restaurant,320 Cooley St,Springfield,R,1128,18,42.09464946,72.4986176,117391.1667,872065.646,M,100
F430,Leo's Bakery,1179 Ocean St,Marshfield,F,2050,,42.10179928,70.676471,268117.7795,872705.0423,M,100
F431,"Leo's Bakery, Inc.",1179 Ocean St,Marshfield,F,2050,,42.10179928,70.676471,268117.7795,872705.0423,M,100
