sample_size,ban_year,county_id,n,att,attempt
9,2014,MA,50,-0.07592149,73
10,2014,MA,49,-0.065456838,73
3,2014,MA,14,-0.067914552,74
4,2014,MA,38,-0.092036528,74
5,2014,MA,44,-0.068295593,74
6,2014,MA,47,-0.062735618,74
7,2014,MA,50,-0.080725821,74
8,2014,MA,50,-0.064707349,74
9,2014,MA,50,-0.068859624,74
10,2014,MA,49,-0.066832732,74
3,2014,MA,14,-0.067914552,75
4,2014,MA,34,-0.092036528,75
5,2014,MA,44,-0.085132799,75
6,2014,MA,49,-0.054895517,75
7,2014,MA,50,-0.081812213,75
8,2014,MA,50,-0.067297422,75
9,2014,MA,50,-0.058826246,75
10,2014,MA,50,-0.071934769,75
3,2014,MA,17,-0.067914552,76
4,2014,MA,35,-0.062299851,76
5,2014,MA,45,-0.087329713,76
6,2014,MA,49,-0.074111108,76
7,2014,MA,50,-0.06515568,76
8,2014,MA,50,-0.089716877,76
9,2014,MA,49,-0.066240591,76
10,2014,MA,50,-0.063546639,76
3,2014,MA,13,-0.067914552,77
4,2014,MA,36,-0.063582654,77
5,2014,MA,46,-0.068295593,77
6,2014,MA,48,-0.065964865,77
7,2014,MA,48,-0.06515568,77
8,2014,MA,50,-0.063698323,77
9,2014,MA,50,-0.057646922,77
10,2014,MA,50,-0.079745763,77
3,2014,MA,15,-0.067914552,78
4,2014,MA,41,-0.068686056,78
5,2014,MA,45,-0.078418655,78
6,2014,MA,49,-0.062735618,78
7,2014,MA,50,-0.048631191,78
8,2014,MA,50,-0.069241284,78
9,2014,MA,50,-0.068105416,78
10,2014,MA,50,-0.067176809,78
3,2014,MA,15,-0.067914552,79
4,2014,MA,37,-0.068686056,79
5,2014,MA,42,-0.087329713,79
6,2014,MA,50,-0.066943487,79
7,2014,MA,50,-0.062319533,79
8,2014,MA,49,-0.070114708,79
9,2014,MA,50,-0.058826246,79
10,2014,MA,50,-0.064651749,79
3,2014,MA,16,-0.067914552,80
4,2014,MA,42,-0.068686056,80
5,2014,MA,44,-0.078418655,80
6,2014,MA,48,-0.065964865,80
7,2014,MA,49,-0.042489118,80
8,2014,MA,50,-0.069644356,80
