"attempt","att2","treated_location","treated_state_2"
49,-0.096725957818564,"MO","MA"
50,-0.0931268156803668,"MO","MA"
1,0.143821736190043,"MS","MA"
2,0.114683219320347,"MS","MA"
3,0.134787288913572,"MS","MA"
4,0.137570916449754,"MS","MA"
5,0.14678143605296,"MS","MA"
6,0.153104190915634,"MS","MA"
7,0.142052523384926,"MS","MA"
8,0.180927030989988,"MS","MA"
9,0.0769612343325239,"MS","MA"
10,0.0868741699472809,"MS","MA"
11,0.112620037195353,"MS","MA"
12,0.137127333593193,"MS","MA"
13,0.145354784783175,"MS","MA"
14,0.164815335698135,"MS","MA"
15,0.0940984583236639,"MS","MA"
16,0.0896181283794756,"MS","MA"
17,0.101250915924301,"MS","MA"
18,0.114688286808306,"MS","MA"
19,0.0892485922303428,"MS","MA"
20,0.0794039619340364,"MS","MA"
21,0.105669836243131,"MS","MA"
22,0.13080216244218,"MS","MA"
23,0.113698461120357,"MS","MA"
24,0.0987046137859437,"MS","MA"
25,0.127636093190392,"MS","MA"
26,0.121660108302939,"MS","MA"
27,0.104518211966304,"MS","MA"
28,0.150489279762095,"MS","MA"
29,0.108319569269201,"MS","MA"
30,0.145189944264227,"MS","MA"
31,0.1175425882309,"MS","MA"
32,0.0533938556624988,"MS","MA"
33,0.121883267728382,"MS","MA"
34,0.13996459074554,"MS","MA"
35,0.160949735673115,"MS","MA"
36,0.121157990045605,"MS","MA"
37,0.112900874923442,"MS","MA"
38,0.0867175364822469,"MS","MA"
39,0.114866638437422,"MS","MA"
40,0.104980811793837,"MS","MA"
41,0.154503711755901,"MS","MA"
42,0.0850664612414389,"MS","MA"
43,0.114473891811916,"MS","MA"
44,0.156648077803851,"MS","MA"
45,0.126823338023631,"MS","MA"
46,0.0853393885260215,"MS","MA"
47,0.0838360192208489,"MS","MA"
48,0.138628497430955,"MS","MA"
49,0.139151296626193,"MS","MA"
50,0.117167453687168,"MS","MA"
1,-0.0279078627461016,"NC","MA"
2,0.0685700924851178,"NC","MA"
3,0.00970780658765255,"NC","MA"
4,0.0264262708235589,"NC","MA"
5,0.0042434631430344,"NC","MA"
6,-0.0282762353371403,"NC","MA"
7,-0.0121549151599226,"NC","MA"
8,0.00783332250225344,"NC","MA"
9,-0.0307357064916287,"NC","MA"
10,-0.0686333401605022,"NC","MA"
11,-0.0286541770322213,"NC","MA"
12,-0.0427912997746341,"NC","MA"
13,0.000699978546145387,"NC","MA"
14,-0.0154768321800406,"NC","MA"
15,-0.0440153135628695,"NC","MA"
16,-0.00259522535788105,"NC","MA"
17,-0.05162209361404,"NC","MA"
18,-0.0406827438327582,"NC","MA"
19,-0.047972236001392,"NC","MA"
20,-0.0348054046440999,"NC","MA"
21,-0.0412041290363722,"NC","MA"
22,-0.0493916448655668,"NC","MA"
23,-0.0604162445299217,"NC","MA"
24,-0.0412572987347879,"NC","MA"
25,-0.0483798920117196,"NC","MA"
26,0.00670777552153235,"NC","MA"
27,-0.00724467359956459,"NC","MA"
28,-0.0512098818848602,"NC","MA"
29,-0.0398246165069338,"NC","MA"
30,-0.0602802804543959,"NC","MA"
31,-0.0455199530892467,"NC","MA"
