GeoName,State,County,LineCode,Description,Unit,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Dallas, AL",AL,Dallas,1,Personal income (thousands of dollars),Thousands of dollars,632812,669096,691423,750636,779915,787998,827017,856381,871244,908374,941694,954760,982213,1048046,1079529,1147928,1163024,1200636,1179953,1232165,1276055,1270774,1278319,1284441,1341550,1349994,1362892,1385273,1426903
"Dallas, AL",AL,Dallas,2,Population (persons) 1/,Number of persons,47857,47940,48002,47806,47706,47347,47104,46764,46722,46198,46132,45377,45170,44795,44434,44323,44194,44265,43759,43854,43251,42789,41976,41554,40936,40080,39238,38294,37196
"Dallas, AL",AL,Dallas,3,Per capita personal income (dollars) 2/,Dollars,13223,13957,14404,15702,16348,16643,17557,18313,18647,19663,20413,21041,21745,23396,24295,25899,26316,27124,26965,28097,29503,29699,30454,30910,32772,33682,34734,36175,38362
"DeKalb, AL",AL,DeKalb,1,Personal income (thousands of dollars),Thousands of dollars,780969,855079,912767,960694,1001019,1062021,1131004,1231891,1283988,1340770,1396405,1413059,1485876,1607025,1607155,1637164,1763469,1838457,1836732,1904074,1836911,1923464,1987076,2061219,2191977,2138842,2251689,2330853,2377212
"DeKalb, AL",AL,DeKalb,2,Population (persons) 1/,Number of persons,55909,56883,58000,59551,59779,60358,61144,62325,63593,64650,65678,65861,66530,67260,67794,68495,69450,70228,70864,71163,71365,70944,70912,70993,71087,71104,71437,71407,71513
"DeKalb, AL",AL,DeKalb,3,Per capita personal income (dollars) 2/,Dollars,13969,15032,15737,16132,16745,17595,18497,19766,20191,20739,21261,21455,22334,23893,23706,23902,25392,26178,25919,26757,25740,27112,28022,29034,30835,30080,31520,32642,33242
"Elmore, AL",AL,Elmore,1,Personal income (thousands of dollars),Thousands of dollars,799943,872488,932230,1015628,1109561,1194229,1305715,1411646,1499404,1592613,1621280,1720293,1839999,1967517,2098703,2280460,2437760,2567200,2606611,2701613,2817563,2875516,2882669,2954527,3122664,3235719,3368910,3459535,3598857
"Elmore, AL",AL,Elmore,2,Population (persons) 1/,Number of persons,50732,52514,54245,55734,57402,58969,60809,62551,64668,66160,67459,68659,69935,71018,72978,75246,77124,77698,78632,79552,79993,80193,80536,80538,80872,81204,81422,81011,81209
"Elmore, AL",AL,Elmore,3,Per capita personal income (dollars) 2/,Dollars,15768,16614,17186,18223,19330,20252,21472,22568,23186,24072,24034,25056,26310,27704,28758,30307,31608,33041,33149,33960,35223,35857,35794,36685,38612,39847,41376,42705,44316
"Escambia, AL",AL,Escambia,1,Personal income (thousands of dollars),Thousands of dollars,480544,505161,531608,559467,586317,619041,649277,674711,694517,733087,740831,726410,753736,801495,855665,891832,932830,963542,975366,1031145,1069681,1110595,1117291,1129115,1156885,1153726,1187983,1205171,1261355
"Escambia, AL",AL,Escambia,2,Population (persons) 1/,Number of persons,35786,36320,36680,37003,37126,37460,37879,38145,38336,38325,38197,38035,37796,37713,37601,37673,37839,37929,38249,38345,38204,38023,37765,37735,37661,37475,36993,36524,36633
